Tournament,surface,Date,HomeTeam,AwayTeam,score,round,Surface,FTR
Auckland,Hard,20240108,Taro Daniel,Ben Shelton,7-5 7-6(9),SF,Hard,H
Auckland,Hard,20240108,Alejandro Tabilo,Arthur Fils,6-2 7-5,SF,Hard,H
Auckland,Hard,20240108,Ben Shelton,Roberto Carballes Baena,6-4 6-3,QF,Hard,H
Auckland,Hard,20240108,Taro Daniel,Alexandre Muller,6-4 6-7(3) 6-3,QF,Hard,H
Auckland,Hard,20240108,Arthur Fils,Daniel Altmaier,7-6(2) 1-0 RET,QF,Hard,H
Auckland,Hard,20240108,Alejandro Tabilo,Cameron Norrie,W/O,QF,Hard,H
Auckland,Hard,20240108,Ben Shelton,Fabian Marozsan,6-3 6-4,R16,Hard,H
Auckland,Hard,20240108,Roberto Carballes Baena,Sebastian Ofner,7-5 6-3,R16,Hard,H
Auckland,Hard,20240108,Alexandre Muller,Francisco Cerundolo,6-1 6-1,R16,Hard,H
Auckland,Hard,20240108,Taro Daniel,Max Purcell,6-2 6-4,R16,Hard,H
Auckland,Hard,20240108,Arthur Fils,Nuno Borges,6-2 6-0,R16,Hard,H
Auckland,Hard,20240108,Daniel Altmaier,Felix Auger Aliassime,7-6(9) 7-5,R16,Hard,H
Auckland,Hard,20240108,Alejandro Tabilo,Botic Van De Zandschulp,7-5 6-3,R16,Hard,H
Auckland,Hard,20240108,Cameron Norrie,Luca Van Assche,6-3 6-7(6) 6-1,R16,Hard,H
Auckland,Hard,20240108,Fabian Marozsan,Gael Monfils,6-4 6-7(6) 7-6(4),R32,Hard,H
Auckland,Hard,20240108,Roberto Carballes Baena,Roberto Bautista Agut,6-4 6-3,R32,Hard,H
Auckland,Hard,20240108,Sebastian Ofner,Denis Shapovalov,6-4 6-2,R32,Hard,H
Auckland,Hard,20240108,Alexandre Muller,Benjamin Bonzi,6-3 7-5,R32,Hard,H
Auckland,Hard,20240108,Taro Daniel,Aleksandar Vukic,7-5 7-5,R32,Hard,H
Auckland,Hard,20240108,Max Purcell,Kiranpal Pannu,6-4 6-4,R32,Hard,H
Auckland,Hard,20240108,Arthur Fils,Richard Gasquet,6-3 6-4,R32,Hard,H
Auckland,Hard,20240108,Nuno Borges,Alex Michelsen,0-6 7-6(6) 6-3,R32,Hard,H
Auckland,Hard,20240108,Daniel Altmaier,Marcos Giron,7-6(5) 6-2,R32,Hard,H
Auckland,Hard,20240108,Botic Van De Zandschulp,Christopher Eubanks,7-6(5) 6-2,R32,Hard,H
Auckland,Hard,20240108,Alejandro Tabilo,Borna Gojo,1-6 6-3 6-2,R32,Hard,H
Auckland,Hard,20240108,Luca Van Assche,J J Wolf,6-4 6-2,R32,Hard,H
Australian Open,Hard,20240115,Novak Djokovic,Dino Prizmic,6-2 6-7(5) 6-3 6-4,R128,Hard,H
Australian Open,Hard,20240115,Alexei Popyrin,Marc Polmans,6-3 7-6(3) 6-2,R128,Hard,H
Australian Open,Hard,20240115,Gael Monfils,Yannick Hanfmann,6-4 6-3 7-5,R128,Hard,H
Australian Open,Hard,20240115,Tomas Martin Etcheverry,Andy Murray,6-4 6-2 6-2,R128,Hard,H
Australian Open,Hard,20240115,Adrian Mannarino,Stan Wawrinka,6-4 3-6 5-7 6-3 6-0,R128,Hard,H
Australian Open,Hard,20240115,Jaume Munar,Alexander Shevchenko,6-3 6-3 6-1,R128,Hard,H
Australian Open,Hard,20240115,Christopher Oconnell,Cristian Garin,3-6 7-5 4-6 6-1 7-5,R128,Hard,H
Australian Open,Hard,20240115,Ben Shelton,Roberto Bautista Agut,6-2 7-6(2) 7-5,R128,Hard,H
Australian Open,Hard,20240115,Taylor Fritz,Facundo Diaz Acosta,4-6 6-3 3-6 6-2 6-4,R128,Hard,H
Australian Open,Hard,20240115,Hugo Gaston,Roberto Carballes Baena,6-3 6-2 3-6 6-4,R128,Hard,H
Australian Open,Hard,20240115,Fabian Marozsan,Marin Cilic,6-1 2-6 6-2 7-5,R128,Hard,H
Australian Open,Hard,20240115,Francisco Cerundolo,Dane Sweeny,3-6 6-3 6-4 2-6 6-2,R128,Hard,H
Australian Open,Hard,20240115,Lorenzo Musetti,Benjamin Bonzi,7-6(3) 7-6(4) 4-6 6-2,R128,Hard,H
Australian Open,Hard,20240115,Luca Van Assche,James Duckworth,6-7(2) 6-3 3-6 6-3 6-3,R128,Hard,H
Australian Open,Hard,20240115,Jordan Thompson,Aleksandar Vukic,3-6 7-6(3) 6-2 3-6 6-4,R128,Hard,H
Australian Open,Hard,20240115,Stefanos Tsitsipas,Zizou Bergs,5-7 6-1 6-1 6-3,R128,Hard,H
Australian Open,Hard,20240115,Jannik Sinner,Botic Van De Zandschulp,6-4 7-5 6-3,R128,Hard,H
Australian Open,Hard,20240115,Jesper De Jong,Pedro Cachin,4-6 6-2 6-3 6-4,R128,Hard,H
Australian Open,Hard,20240115,Daniel Elahi Galan,Jason Kubler,2-6 6-3 7-6(3) 4-6 7-6(8),R128,Hard,H
Australian Open,Hard,20240115,Sebastian Baez,J J Wolf,3-6 6-2 6-3 3-0 RET,R128,Hard,H
Australian Open,Hard,20240115,Frances Tiafoe,Borna Coric,6-3 7-6(7) 2-6 6-3,R128,Hard,H
Australian Open,Hard,20240115,Tomas Machac,Shintaro Mochizuki,7-5 6-1 7-5,R128,Hard,H
Australian Open,Hard,20240115,Aleksandar Kovacevic,Alejandro Tabilo,6-7(2) 7-6(7) 1-6 6-1 6-3,R128,Hard,H
Australian Open,Hard,20240115,Karen Khachanov,Daniel Altmaier,5-7 6-3 7-6(5) 7-6(3),R128,Hard,H
Australian Open,Hard,20240115,Alex De Minaur,Milos Raonic,6-7(6) 6-3 2-0 RET,R128,Hard,H
Australian Open,Hard,20240115,Matteo Arnaldi,Adam Walton,7-6(5) 6-2 6-4,R128,Hard,H
Australian Open,Hard,20240115,Pavel Kotov,Arthur Rinderknech,7-5 6-1 6-7(6) 6-7(5) 6-3,R128,Hard,H
Australian Open,Hard,20240115,Flavio Cobolli,Nicolas Jarry,6-4 3-6 6-3 2-6 7-5,R128,Hard,H
Australian Open,Hard,20240115,Sebastian Korda,Vit Kopriva,6-1 6-4 2-6 4-6 6-2,R128,Hard,H
Australian Open,Hard,20240115,Quentin Halys,Lloyd Harris,4-6 7-6(5) 7-5 7-6(2),R128,Hard,H
Australian Open,Hard,20240115,Christopher Eubanks,Taro Daniel,6-4 6-2 6-3,R128,Hard,H
Australian Open,Hard,20240115,Andrey Rublev,Thiago Seyboth Wild,7-5 6-4 3-6 4-6 7-6(6),R128,Hard,H
