Tournament,surface,Date,HomeTeam,AwayTeam,score,round,Surface,FTR
Australian Open,Hard,20240115,John Millman,Alessandro Giannessi,6-3 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Edward Winter,Franco Agamenone,6-3 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Sumit Nagal,Geoffrey Blancaneaux,6-3 7-5,Q1,Hard,H
Australian Open,Hard,20240115,Terence Atmane,Juan Manuel Cerundolo,4-6 6-4 6-1,Q1,Hard,H
Australian Open,Hard,20240115,Nerman Fatic,Illya Marchenko,6-4 7-6(5),Q1,Hard,H
Australian Open,Hard,20240115,Mattia Bellucci,Jozef Kovalik,6-1 4-6 7-6(5),Q1,Hard,H
Australian Open,Hard,20240115,Emilio Nava,Luciano Darderi,7-6(3) 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Kimmer Coppejans,Thiago Agustin Tirante,6-7(1) 7-6(6) 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Andrea Vavassori,Otto Virtanen,6-0 6-3,Q1,Hard,H
Australian Open,Hard,20240115,Mate Valkusz,Tung Lin Wu,7-6(0) 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Francisco Comesana,Yuta Shimizu,7-6(2) 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Aziz Dougaz,Ryan Peniston,6-3 6-2,Q2,Hard,H
Australian Open,Hard,20240115,Dino Prizmic,Duje Ajdukovic,7-5 6-0,Q2,Hard,H
Australian Open,Hard,20240115,Flavio Cobolli,Benjamin Hassan,6-4 6-3,Q2,Hard,H
Australian Open,Hard,20240115,Santiago Fa Rodriguez Taverna,Zsombor Piros,6-2 3-6 7-6(8),Q2,Hard,H
Australian Open,Hard,20240115,Giovanni Mpetshi Perricard,Marc Andrea Huesler,7-6(3) 3-6 7-5,Q2,Hard,H
Australian Open,Hard,20240115,Hugo Grenier,Maxime Cressy,4-6 6-2 6-3,Q2,Hard,H
Australian Open,Hard,20240115,Hugo Gaston,Beibit Zhukayev,7-6(3) 6-3,Q2,Hard,H
Australian Open,Hard,20240115,Lloyd Harris,Kyrian Jacquet,7-5 6-4,Q2,Hard,H
Australian Open,Hard,20240115,Jesper De Jong,Felipe Meligeni Alves,7-6(5) 6-1,Q2,Hard,H
Australian Open,Hard,20240115,Camilo Ugo Carabelli,Riccardo Bonadio,6-1 6-4,Q2,Hard,H
Australian Open,Hard,20240115,Oliver Crawford,Francesco Passaro,6-4 6-7(7) 6-4,Q2,Hard,H
Australian Open,Hard,20240115,Vit Kopriva,Oriol Roca Batalla,6-3 6-3,Q2,Hard,H
Australian Open,Hard,20240115,Aleksandar Kovacevic,Vitaliy Sachko,7-6(5) 7-6(4),Q2,Hard,H
Australian Open,Hard,20240115,Shintaro Mochizuki,Tristan Schoolkate,6-2 6-4,Q2,Hard,H
Australian Open,Hard,20240115,David Goffin,Billy Harris,3-6 6-3 6-2,Q2,Hard,H
Australian Open,Hard,20240115,Gabriel Diallo,Pierre Hugues Herbert,4-6 6-4 7-6(8),Q2,Hard,H
Australian Open,Hard,20240115,Harold Mayot,Hugo Dellien,6-0 6-3,Q2,Hard,H
Australian Open,Hard,20240115,Jakub Mensik,Federico Gaio,6-4 3-6 6-3,Q2,Hard,H
