Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2024-01-01,NSH,EDM,1,5,A,1,2,A
2024-01-01,SJS,CHI,3,2,H,1,2,A
2024-01-01,DAL,FLA,4,6,A,1,3,A
2024-01-01,BUF,NYI,3,4,A,1,1,D
2024-01-01,NYR,OTT,2,1,H,1,0,H
2024-01-01,CBJ,WPG,2,6,A,1,2,A
2024-01-01,MIN,TBL,5,3,H,0,1,A
2024-01-01,CGY,NJD,3,0,H,0,0,D
2024-01-01,FLA,DAL,4,2,H,1,0,H
2024-01-01,PHI,BOS,0,3,A,0,1,A
2024-01-01,LAK,CHI,3,3,D,1,0,H
2024-01-01,WSH,CBJ,7,2,H,5,0,H
2024-01-01,OTT,SEA,3,0,H,1,0,H
2024-01-01,DET,BUF,2,1,H,0,1,A
2024-01-01,PIT,MTL,3,1,H,1,0,H
2024-01-01,STL,TOR,4,2,H,0,1,A
2024-01-01,NSH,COL,5,2,H,0,0,D
2024-01-01,VGK,UTA,4,3,H,0,1,A
2024-01-01,SJS,VAN,2,3,A,0,0,D
2024-01-01,NYR,NYI,5,2,H,1,0,H
2024-01-01,WPG,TBL,7,4,H,1,2,A
2024-01-01,BOS,SEA,2,0,H,2,0,H
2024-01-01,CAR,WSH,4,2,H,1,2,A
2024-01-01,MIN,TOR,2,1,H,1,1,D
2024-01-01,CGY,EDM,2,4,A,0,2,A
2024-01-01,ANA,CHI,2,4,A,0,2,A
2024-01-01,NSH,LAK,0,3,A,0,1,A
2024-01-01,EDM,NJD,0,3,A,0,1,A
2024-01-01,BUF,OTT,5,1,H,1,0,H
2024-01-01,TOR,BOS,4,0,H,0,0,D
2024-01-01,MTL,CGY,2,3,A,0,0,D
2024-01-01,CAR,PHI,6,4,H,1,1,D
2024-01-01,NYI,PIT,3,3,D,0,0,D
2024-01-01,STL,TBL,3,2,H,0,0,D
2024-01-01,MIN,LAK,1,5,A,0,0,D
2024-01-01,WPG,UTA,3,0,H,0,0,D
2024-01-01,COL,SEA,6,3,H,2,1,H
2024-01-01,ANA,VAN,1,5,A,1,2,A
2024-01-01,SJS,CBJ,2,1,H,0,0,D
2024-01-01,WSH,NSH,3,2,H,1,1,D
2024-01-01,CHI,DET,1,4,A,0,1,A
2024-01-01,EDM,VGK,2,4,A,0,1,A
2024-01-01,BOS,CGY,4,3,H,1,1,D
2024-01-01,OTT,NYI,2,4,A,0,0,D
2024-01-01,TBL,PHI,1,1,D,1,0,H
