Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2025-05-12,Empoli,Parma,2,1,H,1,0,H
2025-05-14,Atalanta,Roma,2,1,H,1,1,D
2025-05-14,Venezia,Fiorentina,2,1,H,0,0,D
2025-05-20,Cagliari,Venezia,3,0,H,2,0,H
2025-05-19,Genoa,Atalanta,2,3,A,1,0,H
2025-05-20,Roma,AC Milan,3,1,H,1,1,D
2025-05-19,Fiorentina,Bologna,3,2,H,1,0,H
2025-05-19,Parma,Napoli,0,0,D,0,0,D
2025-05-19,Monza,Empoli,1,2,A,1,0,H
2025-05-19,Lecce,Torino,1,0,H,0,0,D
2025-05-19,Juventus,Udinese,2,0,H,0,0,D
2025-05-19,Inter Milan,Lazio,2,2,D,1,0,H
2025-05-19,Verona,Como,1,1,D,0,1,A
2025-05-26,Atalanta,Parma,2,3,A,2,0,H
2025-05-24,Como,Inter Milan,0,2,A,0,1,A
2025-05-26,Bologna,Genoa,1,3,A,0,3,A
2025-05-26,Lazio,Lecce,0,1,A,0,1,A
2025-05-26,Empoli,Verona,1,2,A,1,1,D
2025-05-24,Napoli,Cagliari,2,0,H,1,0,H
2025-05-26,Torino,Roma,0,2,A,0,1,A
2025-05-26,Udinese,Fiorentina,2,3,A,1,0,H
2025-05-26,Venezia,Juventus,2,3,A,1,2,A
2025-05-26,AC Milan,Monza,2,0,H,0,0,D
