Date,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
05/04/2025 20:05,Pittsburgh Pirates,New York Yankees,4,10,A
05/04/2025 20:10,Kansas City Royals,Baltimore Orioles,1,8,A
05/04/2025 23:05,Texas Rangers,Tampa Bay Rays,6,4,H
05/04/2025 23:10,New York Mets,Toronto Blue Jays,3,2,H
05/04/2025 23:10,Milwaukee Brewers,Cincinnati Reds,7,11,A
05/04/2025 23:15,Atlanta Braves,Miami Marlins,0,4,A
06/04/2025 00:10,Colorado Rockies,Athletics,4,7,A
06/04/2025 01:05,San Francisco Giants,Seattle Mariners,4,1,H
06/04/2025 01:38,Los Angeles Angels,Cleveland Guardians,10,4,H
06/04/2025 17:35,Boston Red Sox,St. Louis Cardinals,5,4,H
06/04/2025 17:35,Washington Nationals,Arizona Diamondbacks,5,4,H
06/04/2025 17:35,Philadelphia Phillies,Los Angeles Dodgers,8,7,H
06/04/2025 17:35,Pittsburgh Pirates,New York Yankees,5,4,H
06/04/2025 17:40,New York Mets,Toronto Blue Jays,2,1,H
06/04/2025 17:40,Detroit Tigers,Chicago White Sox,4,3,H
06/04/2025 18:10,Kansas City Royals,Baltimore Orioles,4,1,H
06/04/2025 18:10,Minnesota Twins,Houston Astros,7,9,A
06/04/2025 18:10,Milwaukee Brewers,Cincinnati Reds,8,2,H
06/04/2025 18:20,Chicago Cubs,San Diego Padres,7,8,A
06/04/2025 18:35,Texas Rangers,Tampa Bay Rays,4,3,H
06/04/2025 19:10,Colorado Rockies,Athletics,12,5,H
06/04/2025 20:05,San Francisco Giants,Seattle Mariners,5,4,H
06/04/2025 20:07,Los Angeles Angels,Cleveland Guardians,6,2,H
06/04/2025 23:10,Boston Red Sox,St. Louis Cardinals,18,7,H
07/04/2025 19:10,Detroit Tigers,New York Yankees,6,2,H
07/04/2025 22:40,Pittsburgh Pirates,St. Louis Cardinals,8,4,H
07/04/2025 22:45,Washington Nationals,Los Angeles Dodgers,6,4,H
07/04/2025 22:45,Boston Red Sox,Toronto Blue Jays,2,6,A
07/04/2025 23:10,New York Mets,Miami Marlins,2,0,H
07/04/2025 23:40,Chicago Cubs,Texas Rangers,7,0,H
07/04/2025 23:40,Kansas City Royals,Minnesota Twins,4,2,H
08/04/2025 01:40,Arizona Diamondbacks,Baltimore Orioles,1,5,A
08/04/2025 01:40,Seattle Mariners,Houston Astros,4,3,H
08/04/2025 01:45,San Francisco Giants,Cincinnati Reds,0,2,A
08/04/2025 02:05,Athletics,San Diego Padres,4,5,A
08/04/2025 17:10,Detroit Tigers,New York Yankees,5,0,H
08/04/2025 20:10,Cleveland Guardians,Chicago White Sox,1,0,H
08/04/2025 20:10,New York Mets,Miami Marlins,10,5,H
08/04/2025 22:40,Pittsburgh Pirates,St. Louis Cardinals,3,5,A
08/04/2025 22:45,Washington Nationals,Los Angeles Dodgers,8,2,H
08/04/2025 22:45,Boston Red Sox,Toronto Blue Jays,1,6,A
08/04/2025 23:05,Tampa Bay Rays,Los Angeles Angels,3,4,A
08/04/2025 23:15,Atlanta Braves,Philadelphia Phillies,7,5,H
08/04/2025 23:40,Chicago Cubs,Texas Rangers,10,6,H
08/04/2025 23:40,Kansas City Royals,Minnesota Twins,2,1,H
09/04/2025 00:40,Colorado Rockies,Milwaukee Brewers,1,7,A
09/04/2025 01:40,Arizona Diamondbacks,Baltimore Orioles,4,3,H
09/04/2025 01:40,Seattle Mariners,Houston Astros,1,2,A
09/04/2025 01:45,San Francisco Giants,Cincinnati Reds,0,1,A
09/04/2025 02:05,Athletics,San Diego Padres,10,4,H
09/04/2025 16:35,Pittsburgh Pirates,St. Louis Cardinals,2,1,H
09/04/2025 17:10,New York Mets,Miami Marlins,0,5,A
09/04/2025 17:10,Detroit Tigers,New York Yankees,3,4,A
09/04/2025 18:20,Chicago Cubs,Texas Rangers,2,6,A
09/04/2025 19:35,Athletics,San Diego Padres,1,2,A
09/04/2025 19:40,Arizona Diamondbacks,Baltimore Orioles,9,0,H
09/04/2025 19:45,San Francisco Giants,Cincinnati Reds,8,6,H
09/04/2025 20:05,Washington Nationals,Los Angeles Dodgers,5,6,A
09/04/2025 20:10,Seattle Mariners,Houston Astros,7,6,H
09/04/2025 22:10,Cleveland Guardians,Chicago White Sox,3,2,H
09/04/2025 22:45,Boston Red Sox,Toronto Blue Jays,1,2,A
