Season,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
2024,Eastern Michigan,St. Francis (PA),36,0,H
2024,Coastal Carolina,Virginia,24,43,A
2024,Iowa State,Arkansas State,52,7,H
2024,Temple,Utah State,45,29,H
2024,Jacksonville State,Southern Miss,44,7,H
2024,Nevada,Eastern Washington,49,16,H
2024,Louisville,Georgia Tech,31,19,H
2024,Navy,Memphis,56,44,H
2024,Auburn,Arkansas,14,24,A
2024,Michigan,USC,27,24,H
2024,Penn State,Kent State,56,0,H
2024,Texas Tech,Arizona State,30,22,H
2024,Northern Illinois,Buffalo,20,23,A
2024,Notre Dame,Miami (OH),28,3,H
2024,UTSA,Houston Christian,45,7,H
2024,LSU,UCLA,34,17,H
2024,Virginia Tech,Rutgers,23,26,A
2024,Massachusetts,Central Conn. State,35,31,H
2024,Pittsburgh,Youngstown State,73,17,H
2024,Oklahoma State,Utah,19,22,A
2024,Middle Tennessee,Duke,17,45,A
2024,Missouri,Vanderbilt,30,27,H
2024,Colorado State,UTEP,27,17,H
2024,SMU,TCU,66,42,H
2024,FIU,Monmouth,42,45,A
2024,Liberty,East Carolina,35,24,H
2024,Florida State,California,14,9,H
2024,Connecticut,Florida Atlantic,48,14,H
2024,Louisiana Tech,Tulsa,20,23,A
2024,Western Kentucky,Toledo,26,21,H
2024,Washington,Northwestern,24,5,H
2024,North Texas,Wyoming,44,17,H
2024,Troy,Florida A&M,34,12,H
2024,Sam Houston State,New Mexico State,31,11,H
2024,USF,Miami (FL),15,50,A
2024,Oklahoma,Tennessee,15,25,A
2024,South Carolina,Akron,50,7,H
2024,Texas A&M,Bowling Green,26,20,H
2024,Minnesota,Iowa,14,31,A
2024,Ole Miss,Georgia Southern,52,13,H
2024,Boston College,Michigan State,23,19,H
2024,Texas,UL-Monroe,51,3,H
2024,Colorado,Baylor,38,31,H
2024,New Mexico,Fresno State,21,38,A
2024,Oregon State,Purdue,38,21,H
2024,Boise State,Portland State,56,14,H
2024,BYU,Kansas State,38,9,H
2024,Hawaii,Northern Iowa,36,7,H
2024,Temple,Army,14,42,A
2024,Miami (FL),Virginia Tech,38,34,H
2024,Rutgers,Washington,21,18,H
2024,Kansas State,Oklahoma State,42,20,H
2024,UAB,Navy,18,41,A
2024,Tulane,USF,45,10,H
2024,Ole Miss,Kentucky,17,20,A
2024,Indiana,Maryland,42,28,H
2024,Purdue,Nebraska,10,28,A
2024,Connecticut,Buffalo,47,3,H
2024,Boston College,Western Kentucky,21,20,H
2024,NC State,Northern Illinois,24,17,H
2024,Syracuse,Holy Cross,42,14,H
2024,Michigan,Minnesota,27,24,H
2024,Baylor,BYU,28,34,A
2024,James Madison,Ball State,63,7,H
2024,Sam Houston State,Texas State,40,39,H
2024,Wake Forest,UL-Lafayette,38,41,A
2024,Miami (OH),Massachusetts,23,20,H
2024,Kansas,TCU,27,38,A
2024,UNLV,Fresno State,59,14,H
2024,Georgia State,Georgia Southern,21,38,A
2024,Central Michigan,San Diego State,22,21,H
2024,USC,Wisconsin,38,21,H
2024,Kent State,Eastern Michigan,33,52,A
2024,Texas A&M,Arkansas,21,17,H
2024,Notre Dame,Louisville,31,24,H
2024,Ohio,Akron,30,10,H
2024,Marshall,Western Michigan,27,20,H
2024,Auburn,Oklahoma,21,27,A
2024,East Carolina,UTSA,30,20,H
2024,Duke,North Carolina,21,20,H
2024,Texas,Mississippi State,35,13,H
2024,UCF,Colorado,21,48,A
2024,Bowling Green,Old Dominion,27,30,A
2024,Florida Atlantic,Wagner,41,10,H
2024,Kennesaw State,Tennessee-Martin,13,24,A
2024,FIU,Louisiana Tech,17,10,H
2024,Troy,UL-Monroe,9,13,A
2024,Clemson,Stanford,40,14,H
2024,North Texas,Tulsa,52,20,H
2024,Rice,Charlotte,20,21,A
2024,Houston,Iowa State,0,20,A
2024,Memphis,Middle Tennessee,24,7,H
2024,Alabama,Georgia,41,34,H
2024,Michigan State,Ohio State,7,38,A
2024,Penn State,Illinois,21,7,H
2024,LSU,South Alabama,42,10,H
2024,SMU,Florida State,42,16,H
2024,Texas Tech,Cincinnati,44,41,H
2024,New Mexico State,New Mexico,40,50,A
2024,Wyoming,Air Force,31,19,H
2024,Boise State,Washington State,45,24,H
2024,Utah,Arizona,10,23,A
2024,UCLA,Oregon,13,34,A
2024,Troy,Texas State,17,38,A
2024,UTEP,Sam Houston State,21,41,A
2024,Kennesaw State,Jacksonville State,24,63,A
2024,TCU,Houston,19,30,A
2024,Oregon,Michigan State,31,10,H
2024,UNLV,Syracuse,41,44,A
2024,Northern Illinois,Massachusetts,34,20,H
2024,Air Force,Navy,7,34,A
2024,Tulsa,Army,7,49,A
